                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1064,                 5.4389,                 1.8569,                0.38663,                   0.57,                0.42253,                0.25319,                 1.1775,                 3.9856,                 1.2829,                0.00024,                0.00024,                0.00024
                      2,                 1.1175,                 1.8089,                  1.159,                0.70208,                    0.7,                0.72638,                0.49104,                 1.0924,                 3.3236,                 1.2417,             0.00049752,             0.00049752,             0.00049752
                      3,                 1.1427,                 1.4147,                 1.1582,                0.64492,                0.78101,                0.73233,                0.38335,                 1.4682,                 2.8381,                  1.505,             0.00075248,             0.00075248,             0.00075248
                      4,                 1.1236,                 1.2665,                 1.1546,                0.41055,                  0.655,                0.42496,                0.19477,                 1.6532,                 4.2005,                 1.7185,              0.0010049,              0.0010049,              0.0010049
                      5,                   1.13,                 1.2243,                 1.1709,                0.77492,                  0.515,                0.61345,                0.36658,                  1.667,                 2.2192,                  1.575,              0.0012547,              0.0012547,              0.0012547
                      6,                 1.2055,                  1.271,                 1.2035,                0.36632,                  0.395,                 0.2211,                0.11326,                 2.1045,                  2.737,                 2.0356,              0.0015019,              0.0015019,              0.0015019
                      7,                 1.1386,                 1.1146,                 1.1521,                0.23925,                   0.17,                 0.1047,                 0.0397,                 3.0226,                 3.2913,                 2.8441,              0.0017465,              0.0017465,              0.0017465
                      8,                 1.2572,                 1.2571,                 1.2289,                0.36153,                  0.595,                0.41478,                0.19485,                 1.5695,                 4.7604,                 1.5065,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.1891,                 1.1631,                 1.2058,                0.61446,                  0.255,                 0.3166,                0.16064,                 1.6659,                 9.2244,                 1.8534,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.2113,                 1.1251,                 1.2133,                0.25234,                  0.455,                0.18906,                0.09471,                 1.8001,                 2.8505,                 1.8424,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.1556,                 1.0819,                 1.1867,                0.68954,                    0.6,                0.60335,                0.33184,                 1.5382,                 1.5122,                 1.5371,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.1521,                 1.0948,                 1.1749,                0.55567,                  0.595,                0.53063,                0.32855,                 1.4101,                  1.801,                 1.4579,               0.001901,               0.001901,               0.001901
                     13,                 1.1022,                 1.0353,                 1.1461,                0.58958,                  0.595,                0.58643,                 0.3346,                 1.3975,                 2.2332,                 1.4206,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.1045,                0.93447,                 1.1378,                0.63525,                  0.705,                0.68569,                0.43346,                 1.3243,                 1.7425,                 1.3156,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.1113,                0.98552,                 1.1715,                0.70699,                   0.75,                0.73121,                0.45996,                 1.3245,                 1.3744,                 1.2963,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.1625,                 1.0048,                 1.1907,                0.61681,                0.49096,                0.47675,                0.25887,                 1.6837,                 2.1362,                  1.859,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.1534,                  1.007,                 1.1949,                 0.7555,                 0.8034,                 0.7814,                0.49885,                 1.1685,                 1.1607,                 1.2369,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.0792,                0.94666,                 1.1576,                0.75689,                0.85619,                0.84353,                0.58709,                 1.1424,                 1.0549,                 1.2261,              0.0018416,              0.0018416,              0.0018416
                     19,                  1.025,                0.86622,                 1.1196,                0.82042,                  0.805,                0.80592,                0.54292,                 1.1803,                0.98053,                 1.2433,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.1275,                0.93033,                 1.1514,                0.77337,                0.80192,                0.76093,                0.52591,                 1.1194,                 1.2723,                 1.2004,              0.0018218,              0.0018218,              0.0018218
